age,income,purchase_amount,monthly_visits,satisfaction_score,gender,product_type,purchased
39.0,76661.0,103.0,11.0,8.0,Male,Clothing,1.0
78.0,51024.0,495.0,1.0,7.0,Male,Books,0.0
61.0,90313.0,444.0,19.0,9.0,Male,Books,1.0
42.0,73006.0,71.0,4.0,4.0,Female,Clothing,1.0
66.0,35338.0,450.0,19.0,2.0,Male,Books,1.0
44.0,88027.0,203.0,11.0,7.0,Male,Books,1.0
76.0,39508.0,344.0,8.0,,Male,,1.0
59.0,23051.0,212.0,11.0,1.0,Female,Electronics,0.0
45.0,68747.0,401.0,,9.0,Female,Clothing,0.0
77.0,74021.0,35.0,,9.0,Male,Clothing,1.0
33.0,86412.0,444.0,7.0,2.0,Male,Clothing,1.0
32.0,78335.0,182.0,8.0,3.0,Female,Electronics,1.0
79.0,76179.0,309.0,3.0,5.0,Female,Electronics,1.0
79.0,52093.0,142.0,2.0,5.0,Female,Clothing,1.0
64.0,89678.0,,,1.0,Female,Electronics,0.0
79.0,59734.0,419.0,5.0,8.0,Female,Clothing,1.0
68.0,92615.0,127.0,1.0,8.0,Female,Electronics,1.0
61.0,93523.0,333.0,4.0,4.0,Female,Books,1.0
72.0,37019.0,284.0,15.0,7.0,Female,Books,1.0
69.0,93847.0,221.0,19.0,10.0,,Clothing,
74.0,99634.0,234.0,3.0,3.0,Male,Electronics,1.0
20.0,48251.0,29.0,11.0,6.0,Male,Electronics,1.0
54.0,45945.0,122.0,17.0,10.0,Male,Books,1.0
68.0,52217.0,149.0,,10.0,Female,Books,1.0
24.0,28308.0,56.0,11.0,9.0,Male,Electronics,0.0
38.0,25949.0,10.0,2.0,1.0,Female,Electronics,
26.0,71990.0,99.0,9.0,5.0,Female,Electronics,0.0
56.0,21150.0,151.0,2.0,4.0,Male,Electronics,1.0
35.0,94740.0,329.0,9.0,8.0,Female,,1.0
21.0,86617.0,47.0,9.0,1.0,Male,Electronics,1.0
42.0,36896.0,302.0,8.0,9.0,Male,Clothing,1.0
77.0,66175.0,391.0,17.0,6.0,Male,Electronics,1.0
31.0,27805.0,148.0,1.0,4.0,Female,Books,0.0
67.0,,365.0,11.0,9.0,Male,Clothing,0.0
75.0,,342.0,8.0,5.0,Female,Electronics,0.0
,65543.0,268.0,10.0,5.0,Male,Books,1.0
43.0,76556.0,170.0,7.0,5.0,Male,Clothing,0.0
70.0,23343.0,399.0,3.0,1.0,Male,Books,0.0
19.0,33500.0,187.0,3.0,1.0,Female,Electronics,1.0
37.0,73222.0,19.0,18.0,8.0,Female,Electronics,1.0
,49375.0,270.0,5.0,8.0,Female,Electronics,1.0
64.0,29662.0,416.0,12.0,6.0,Male,Electronics,1.0
77.0,36964.0,147.0,12.0,4.0,Male,Clothing,1.0
,,,19.0,2.0,Female,Clothing,0.0
61.0,93666.0,395.0,6.0,2.0,Female,Books,1.0
78.0,87215.0,,2.0,9.0,Female,Electronics,0.0
25.0,89042.0,177.0,12.0,5.0,Female,Books,1.0
64.0,33284.0,139.0,19.0,4.0,Female,Clothing,0.0
52.0,92789.0,93.0,5.0,10.0,Female,Electronics,1.0
31.0,81389.0,330.0,,1.0,Male,Electronics,1.0
34.0,29435.0,328.0,17.0,7.0,Female,Clothing,0.0
,74340.0,110.0,17.0,3.0,Male,Clothing,1.0
67.0,64078.0,338.0,10.0,6.0,Male,Clothing,1.0
57.0,98832.0,282.0,17.0,5.0,Female,Clothing,1.0
21.0,71293.0,274.0,15.0,5.0,Female,Clothing,1.0
19.0,98781.0,468.0,12.0,5.0,Male,Electronics,1.0
79.0,80403.0,408.0,16.0,1.0,Female,Clothing,1.0
23.0,49124.0,,19.0,1.0,Female,Electronics,1.0
71.0,63919.0,47.0,8.0,3.0,Male,Electronics,1.0
59.0,55247.0,428.0,17.0,10.0,Male,Clothing,1.0
21.0,82752.0,103.0,5.0,,Male,Clothing,1.0
71.0,76573.0,104.0,16.0,5.0,Female,Electronics,1.0
46.0,79101.0,314.0,6.0,,Male,Clothing,0.0
35.0,46646.0,78.0,8.0,8.0,Female,Clothing,1.0
43.0,43049.0,327.0,18.0,2.0,Male,Clothing,0.0
61.0,99605.0,453.0,12.0,9.0,Male,Books,
51.0,88385.0,245.0,15.0,2.0,Male,Electronics,1.0
27.0,60158.0,443.0,9.0,,Female,Books,1.0
79.0,85417.0,,13.0,7.0,Female,Clothing,0.0
53.0,43289.0,382.0,15.0,8.0,Male,Books,0.0
31.0,29823.0,385.0,10.0,2.0,Male,Clothing,1.0
,80160.0,468.0,16.0,7.0,Male,Books,1.0
65.0,61975.0,146.0,7.0,6.0,Female,Clothing,1.0
32.0,29540.0,427.0,17.0,4.0,Male,Books,0.0
25.0,36364.0,85.0,7.0,7.0,Female,Books,1.0
31.0,24611.0,492.0,14.0,4.0,Male,Books,1.0
40.0,47663.0,44.0,15.0,2.0,Male,Electronics,0.0
77.0,71991.0,10.0,7.0,10.0,Male,Books,1.0
74.0,77679.0,305.0,9.0,7.0,Male,Electronics,1.0
79.0,50977.0,329.0,19.0,8.0,Male,Clothing,1.0
57.0,69115.0,415.0,16.0,2.0,Male,Books,1.0
38.0,80890.0,69.0,8.0,5.0,Female,Clothing,1.0
33.0,86387.0,,18.0,1.0,Male,Clothing,1.0
62.0,38071.0,358.0,18.0,7.0,Female,Books,0.0
35.0,79275.0,337.0,7.0,8.0,Male,Electronics,1.0
64.0,92369.0,276.0,3.0,6.0,Male,Books,1.0
70.0,31938.0,370.0,18.0,5.0,Female,Clothing,0.0
41.0,55195.0,238.0,10.0,6.0,Male,Clothing,0.0
43.0,24000.0,279.0,7.0,2.0,Female,Books,0.0
42.0,90588.0,325.0,17.0,1.0,Female,Electronics,0.0
77.0,,295.0,14.0,7.0,Male,Electronics,1.0
,,300.0,3.0,7.0,Female,Clothing,1.0
77.0,40764.0,222.0,12.0,10.0,Female,Clothing,0.0
62.0,58494.0,174.0,13.0,10.0,Male,Electronics,1.0
58.0,23373.0,14.0,2.0,2.0,Female,Books,0.0
46.0,32161.0,348.0,3.0,2.0,Male,Clothing,1.0
32.0,47350.0,388.0,5.0,1.0,Male,Electronics,0.0
62.0,,87.0,11.0,10.0,Male,Clothing,0.0
18.0,35305.0,419.0,8.0,8.0,Male,,1.0
42.0,95353.0,71.0,12.0,8.0,Female,Electronics,1.0
24.0,96797.0,141.0,7.0,1.0,Male,Clothing,1.0
26.0,85953.0,98.0,15.0,8.0,Male,Books,0.0
41.0,77458.0,246.0,17.0,9.0,Female,Clothing,1.0
18.0,40358.0,51.0,4.0,4.0,Male,Books,0.0
61.0,23267.0,98.0,13.0,1.0,Male,Books,0.0
25.0,58513.0,411.0,18.0,1.0,Female,Electronics,1.0
41.0,46092.0,305.0,1.0,3.0,Female,Books,1.0
28.0,31338.0,337.0,16.0,5.0,Female,Clothing,1.0
68.0,20412.0,304.0,13.0,5.0,Female,Books,
34.0,27543.0,113.0,10.0,9.0,Female,Books,1.0
25.0,53496.0,23.0,12.0,10.0,Female,Electronics,1.0
52.0,80692.0,297.0,2.0,2.0,Female,Books,0.0
52.0,64425.0,188.0,3.0,2.0,Male,Books,1.0
50.0,58756.0,134.0,10.0,6.0,Female,Clothing,1.0
76.0,38888.0,431.0,2.0,9.0,Female,Electronics,0.0
22.0,55735.0,362.0,,1.0,Female,Electronics,0.0
59.0,67295.0,32.0,13.0,9.0,Male,Electronics,1.0
56.0,37955.0,72.0,18.0,9.0,,Books,1.0
75.0,57841.0,152.0,3.0,9.0,Female,Electronics,1.0
58.0,90640.0,490.0,7.0,5.0,Female,Books,1.0
45.0,85510.0,162.0,14.0,9.0,Female,Books,1.0
24.0,,154.0,17.0,4.0,Male,Clothing,1.0
,79031.0,234.0,12.0,2.0,Male,Clothing,1.0
25.0,27357.0,459.0,16.0,6.0,Female,Clothing,
29.0,52479.0,471.0,12.0,4.0,Male,Clothing,1.0
51.0,81476.0,318.0,15.0,6.0,Female,Clothing,1.0
50.0,64811.0,113.0,10.0,3.0,Male,Books,0.0
65.0,56208.0,113.0,7.0,6.0,Male,Books,1.0
72.0,40150.0,444.0,5.0,2.0,Female,Electronics,1.0
40.0,91180.0,48.0,1.0,2.0,Female,Books,0.0
79.0,63286.0,444.0,17.0,9.0,Female,Books,1.0
41.0,88450.0,207.0,,7.0,Female,Clothing,1.0
54.0,41352.0,143.0,13.0,3.0,Male,Books,1.0
52.0,75069.0,76.0,,1.0,Male,Clothing,1.0
61.0,34397.0,400.0,18.0,8.0,Male,Electronics,0.0
57.0,61555.0,188.0,4.0,6.0,Female,Electronics,1.0
39.0,66959.0,465.0,18.0,7.0,Male,Books,0.0
44.0,20728.0,51.0,5.0,9.0,Female,Electronics,1.0
52.0,70517.0,457.0,16.0,5.0,Male,Books,1.0
18.0,86234.0,24.0,1.0,1.0,Female,Electronics,1.0
52.0,59954.0,120.0,14.0,10.0,Female,Clothing,1.0
54.0,67280.0,166.0,15.0,7.0,Male,Clothing,1.0
64.0,99459.0,298.0,9.0,5.0,Female,Clothing,
31.0,36779.0,487.0,15.0,3.0,Female,Clothing,0.0
20.0,83932.0,240.0,17.0,9.0,Male,Books,1.0
18.0,92936.0,420.0,4.0,1.0,Female,Electronics,0.0
22.0,,429.0,12.0,1.0,Female,Books,0.0
43.0,56939.0,166.0,5.0,1.0,,Clothing,0.0
72.0,89896.0,47.0,,3.0,Male,Books,0.0
31.0,55270.0,,11.0,6.0,Male,Electronics,0.0
56.0,79163.0,106.0,6.0,10.0,Female,Books,1.0
44.0,71934.0,,7.0,3.0,Male,Electronics,0.0
26.0,84895.0,420.0,14.0,8.0,,Books,1.0
32.0,52307.0,448.0,11.0,10.0,Female,Electronics,1.0
32.0,74098.0,298.0,13.0,2.0,Female,Electronics,0.0
43.0,,263.0,2.0,,Female,Clothing,1.0
59.0,25486.0,205.0,7.0,3.0,Female,Electronics,0.0
77.0,28335.0,95.0,4.0,5.0,Male,Clothing,1.0
30.0,31130.0,331.0,8.0,10.0,,Clothing,1.0
68.0,80566.0,19.0,19.0,8.0,Male,Clothing,1.0
49.0,86703.0,14.0,13.0,,Male,Books,0.0
,,132.0,14.0,6.0,Female,Books,1.0
66.0,21062.0,339.0,10.0,5.0,Female,Books,1.0
69.0,41545.0,362.0,11.0,,Male,Books,1.0
78.0,41689.0,127.0,2.0,9.0,Male,Electronics,
49.0,31174.0,303.0,9.0,5.0,Male,Electronics,1.0
21.0,29348.0,406.0,17.0,2.0,Female,Books,0.0
47.0,43714.0,168.0,3.0,5.0,Male,Electronics,0.0
54.0,58102.0,312.0,6.0,4.0,Female,Electronics,1.0
40.0,94460.0,237.0,5.0,7.0,Female,Clothing,1.0
56.0,26801.0,374.0,5.0,6.0,Female,Clothing,0.0
62.0,92267.0,225.0,15.0,2.0,Male,Clothing,0.0
32.0,68136.0,445.0,17.0,5.0,Female,Clothing,0.0
60.0,43625.0,193.0,9.0,7.0,Female,Electronics,0.0
46.0,92592.0,24.0,3.0,7.0,Female,Books,1.0
53.0,97052.0,,17.0,5.0,Female,,1.0
30.0,64261.0,145.0,10.0,9.0,Female,Electronics,1.0
49.0,21542.0,270.0,3.0,4.0,Male,Electronics,1.0
24.0,41677.0,166.0,18.0,3.0,Female,Clothing,
76.0,66732.0,56.0,,4.0,Female,Clothing,0.0
68.0,70343.0,333.0,17.0,5.0,Male,Clothing,1.0
39.0,59081.0,341.0,3.0,6.0,Female,Books,1.0
45.0,82856.0,182.0,3.0,3.0,Male,Electronics,1.0
19.0,39065.0,139.0,6.0,2.0,Female,Books,1.0
59.0,74693.0,420.0,13.0,4.0,Male,Clothing,1.0
62.0,46962.0,,15.0,5.0,Male,Books,0.0
79.0,48295.0,124.0,9.0,4.0,Female,Electronics,1.0
74.0,33807.0,252.0,4.0,3.0,Female,Electronics,0.0
70.0,62348.0,429.0,14.0,8.0,Female,Clothing,0.0
23.0,46432.0,301.0,5.0,10.0,Male,Clothing,1.0
45.0,77854.0,291.0,2.0,4.0,Male,Books,1.0
45.0,60262.0,308.0,,2.0,Male,Clothing,
61.0,57080.0,292.0,9.0,2.0,Female,Clothing,1.0
61.0,21324.0,78.0,3.0,1.0,Male,Electronics,0.0
37.0,55909.0,157.0,9.0,4.0,Male,Clothing,1.0
47.0,39870.0,20.0,3.0,10.0,Female,Clothing,0.0
79.0,54578.0,263.0,2.0,9.0,Male,Electronics,1.0
28.0,92124.0,339.0,12.0,7.0,Male,Electronics,1.0
75.0,46790.0,369.0,10.0,10.0,Female,Books,0.0
72.0,45289.0,47.0,9.0,7.0,Male,Clothing,1.0
45.0,75129.0,143.0,15.0,7.0,Female,Electronics,1.0
42.0,35485.0,209.0,8.0,8.0,Female,Books,1.0
56.0,64482.0,32.0,5.0,1.0,Female,Books,1.0
79.0,24748.0,312.0,11.0,10.0,Female,Clothing,1.0
50.0,,355.0,2.0,10.0,Female,Clothing,1.0
18.0,23709.0,,15.0,8.0,,Books,0.0
74.0,50355.0,372.0,6.0,,Male,Electronics,1.0
44.0,75771.0,405.0,8.0,4.0,Female,Books,1.0
79.0,77799.0,227.0,5.0,4.0,Female,Clothing,1.0
74.0,33116.0,150.0,16.0,6.0,Male,Electronics,1.0
69.0,45470.0,113.0,18.0,7.0,Female,Electronics,1.0
30.0,62344.0,455.0,6.0,6.0,Female,Books,0.0
58.0,62918.0,219.0,5.0,1.0,Female,Clothing,1.0
20.0,72224.0,482.0,16.0,8.0,Male,Books,1.0
56.0,59298.0,,13.0,10.0,Male,Books,0.0
23.0,81629.0,120.0,5.0,7.0,Female,Books,1.0
25.0,86040.0,113.0,13.0,6.0,Female,Electronics,0.0
44.0,48016.0,325.0,17.0,6.0,Male,Electronics,1.0
26.0,43960.0,180.0,18.0,5.0,Male,Clothing,0.0
79.0,53591.0,469.0,8.0,6.0,Female,Clothing,1.0
54.0,87641.0,365.0,13.0,9.0,Female,Books,
50.0,56395.0,333.0,19.0,10.0,Male,,1.0
68.0,42700.0,142.0,3.0,9.0,Male,Books,1.0
59.0,54620.0,385.0,8.0,10.0,Male,Clothing,1.0
61.0,40559.0,,2.0,8.0,Female,Electronics,1.0
41.0,81642.0,337.0,8.0,10.0,Male,Electronics,1.0
32.0,96539.0,,13.0,,Female,Books,1.0
76.0,41732.0,115.0,13.0,10.0,Male,,0.0
71.0,50354.0,101.0,1.0,8.0,Male,Books,1.0
49.0,33843.0,296.0,6.0,8.0,Male,Books,1.0
49.0,91726.0,387.0,19.0,1.0,Male,Clothing,0.0
41.0,37640.0,402.0,16.0,10.0,Female,Electronics,
58.0,72528.0,60.0,8.0,5.0,Female,Books,0.0
69.0,58413.0,38.0,1.0,4.0,Male,Clothing,1.0
66.0,72638.0,,16.0,2.0,Female,Books,1.0
79.0,72736.0,305.0,9.0,8.0,Male,Books,1.0
66.0,88866.0,306.0,13.0,3.0,Male,Electronics,1.0
75.0,39087.0,223.0,11.0,4.0,Male,Books,0.0
69.0,61430.0,276.0,13.0,7.0,Male,Electronics,1.0
29.0,44504.0,416.0,10.0,10.0,Female,Electronics,1.0
79.0,27114.0,,4.0,9.0,,Electronics,0.0
56.0,98859.0,311.0,,2.0,Male,Clothing,1.0
19.0,30975.0,110.0,7.0,3.0,Female,,0.0
20.0,31023.0,414.0,5.0,4.0,Male,Electronics,0.0
66.0,41447.0,355.0,11.0,10.0,Male,Books,0.0
54.0,43959.0,119.0,13.0,1.0,Male,Electronics,0.0
66.0,86203.0,429.0,19.0,7.0,Female,Books,0.0
,49703.0,191.0,10.0,2.0,Male,Electronics,0.0
34.0,29337.0,480.0,10.0,5.0,Female,Books,0.0
76.0,66427.0,322.0,11.0,1.0,Male,Clothing,0.0
66.0,81529.0,10.0,7.0,3.0,Male,Books,0.0
19.0,51921.0,328.0,18.0,2.0,Female,Electronics,0.0
19.0,53307.0,447.0,4.0,1.0,Male,Clothing,1.0
45.0,47355.0,64.0,2.0,7.0,Male,Books,0.0
71.0,24835.0,380.0,14.0,5.0,Female,Books,0.0
40.0,40159.0,433.0,13.0,1.0,Female,Books,
54.0,67605.0,408.0,12.0,6.0,Female,Books,0.0
49.0,58088.0,158.0,7.0,5.0,Female,Books,0.0
50.0,98752.0,440.0,2.0,3.0,Female,Clothing,1.0
18.0,75284.0,466.0,13.0,7.0,Male,Clothing,1.0
36.0,77043.0,318.0,14.0,10.0,Female,Clothing,1.0
79.0,55547.0,146.0,17.0,9.0,,Clothing,0.0
19.0,47532.0,211.0,9.0,9.0,Male,Electronics,0.0
70.0,,445.0,17.0,9.0,Male,Clothing,1.0
61.0,65445.0,322.0,8.0,,Female,Books,
43.0,25713.0,126.0,,3.0,Female,Books,0.0
49.0,76178.0,163.0,13.0,7.0,Male,Clothing,0.0
23.0,69407.0,434.0,3.0,5.0,Female,Books,1.0
49.0,90340.0,300.0,16.0,2.0,Female,Clothing,1.0
72.0,70990.0,72.0,6.0,3.0,Female,Books,1.0
21.0,95672.0,253.0,19.0,10.0,Female,Electronics,1.0
72.0,85545.0,34.0,7.0,6.0,Male,Electronics,
28.0,78141.0,99.0,10.0,7.0,Male,Clothing,1.0
73.0,,84.0,9.0,9.0,Female,Clothing,1.0
76.0,76570.0,303.0,2.0,1.0,Male,Clothing,0.0
34.0,57892.0,395.0,,7.0,Female,Books,0.0
55.0,21015.0,400.0,5.0,8.0,Female,Clothing,1.0
41.0,81813.0,219.0,4.0,3.0,Male,Electronics,1.0
22.0,47712.0,484.0,4.0,4.0,Male,Books,1.0
69.0,,427.0,18.0,10.0,Male,Clothing,0.0
51.0,82292.0,356.0,4.0,6.0,Female,Books,1.0
23.0,43833.0,26.0,,10.0,Male,Books,1.0
39.0,24158.0,137.0,12.0,7.0,Female,Clothing,0.0
,82680.0,436.0,17.0,4.0,Male,Books,0.0
65.0,40309.0,452.0,10.0,,Male,Electronics,1.0
33.0,26970.0,373.0,1.0,5.0,Female,Electronics,1.0
50.0,,260.0,18.0,1.0,Female,Books,1.0
26.0,66540.0,188.0,18.0,4.0,Female,Clothing,1.0
77.0,40384.0,191.0,14.0,3.0,Female,Books,0.0
76.0,38017.0,161.0,15.0,9.0,Female,Electronics,0.0
23.0,95880.0,34.0,12.0,8.0,Female,Books,1.0
33.0,28702.0,464.0,,1.0,Female,Books,1.0
46.0,20384.0,189.0,3.0,6.0,Female,Electronics,1.0
20.0,20404.0,207.0,12.0,9.0,Male,Books,0.0
37.0,60943.0,353.0,7.0,7.0,Female,Books,0.0
77.0,67926.0,170.0,11.0,4.0,Female,Clothing,0.0
76.0,49189.0,186.0,1.0,1.0,Male,Clothing,
53.0,32763.0,294.0,6.0,2.0,Female,Electronics,0.0
36.0,38384.0,72.0,15.0,5.0,Male,Electronics,0.0
43.0,80100.0,159.0,15.0,5.0,Male,Electronics,1.0
20.0,29860.0,163.0,19.0,8.0,Female,Clothing,0.0
36.0,70612.0,165.0,11.0,6.0,Male,Electronics,0.0
37.0,43574.0,379.0,2.0,8.0,Female,Electronics,1.0
49.0,43524.0,478.0,14.0,2.0,Male,Electronics,1.0
24.0,89172.0,58.0,2.0,,Male,Clothing,1.0
69.0,30916.0,464.0,4.0,6.0,Male,Books,0.0
58.0,24809.0,346.0,17.0,10.0,Female,Electronics,1.0
50.0,52201.0,93.0,3.0,3.0,Female,Books,1.0
57.0,73330.0,370.0,13.0,,Male,Electronics,
56.0,33456.0,186.0,9.0,6.0,Male,Books,0.0
35.0,76397.0,157.0,7.0,,Female,Clothing,0.0
57.0,58765.0,127.0,15.0,7.0,Female,Clothing,1.0
18.0,,351.0,11.0,2.0,Male,Electronics,1.0
28.0,65106.0,485.0,2.0,6.0,Male,Books,
45.0,73932.0,72.0,,1.0,Female,,1.0
74.0,37100.0,198.0,14.0,3.0,Female,Electronics,1.0
42.0,77091.0,369.0,11.0,2.0,Female,Electronics,0.0
67.0,41949.0,58.0,3.0,7.0,Female,Clothing,0.0
40.0,90080.0,336.0,17.0,4.0,Female,Clothing,0.0
48.0,57744.0,266.0,12.0,8.0,Male,Electronics,1.0
47.0,65543.0,233.0,15.0,6.0,Female,Books,0.0
59.0,56187.0,150.0,16.0,10.0,Male,Books,1.0
52.0,,487.0,5.0,4.0,Female,Books,1.0
,34489.0,224.0,6.0,5.0,Male,Electronics,1.0
77.0,78017.0,444.0,19.0,9.0,Female,Clothing,1.0
33.0,81877.0,388.0,5.0,7.0,,Electronics,0.0
43.0,63125.0,449.0,3.0,10.0,Male,Clothing,1.0
65.0,69922.0,220.0,1.0,9.0,Male,Books,1.0
,52049.0,327.0,6.0,,Female,Books,
69.0,57131.0,41.0,15.0,1.0,Female,Clothing,1.0
77.0,62944.0,167.0,2.0,8.0,Female,Clothing,1.0
66.0,93963.0,294.0,3.0,4.0,Female,Electronics,1.0
19.0,44285.0,314.0,17.0,3.0,Female,Books,1.0
18.0,57626.0,438.0,12.0,7.0,Male,Electronics,0.0
65.0,62808.0,486.0,,3.0,Male,Electronics,1.0
79.0,73871.0,295.0,15.0,8.0,Female,Electronics,1.0
29.0,39198.0,153.0,,6.0,Male,Books,1.0
22.0,39758.0,433.0,16.0,5.0,Male,Electronics,1.0
,35254.0,28.0,8.0,4.0,Male,Electronics,0.0
49.0,64238.0,27.0,14.0,8.0,Female,Electronics,1.0
76.0,21252.0,266.0,17.0,8.0,Male,Electronics,1.0
,59764.0,87.0,8.0,1.0,Female,Electronics,1.0
26.0,97709.0,380.0,15.0,9.0,Male,Electronics,1.0
58.0,57441.0,184.0,14.0,5.0,Female,Books,1.0
,73682.0,203.0,18.0,4.0,Male,Electronics,1.0
36.0,79494.0,485.0,7.0,,Female,Clothing,1.0
65.0,85215.0,122.0,3.0,6.0,Female,Electronics,1.0
33.0,98587.0,123.0,12.0,2.0,Male,,1.0
20.0,26949.0,231.0,3.0,8.0,Female,Books,1.0
37.0,75393.0,175.0,14.0,7.0,Female,Books,0.0
41.0,93553.0,444.0,15.0,1.0,Female,Clothing,1.0
71.0,26941.0,328.0,14.0,5.0,Female,Clothing,1.0
73.0,45934.0,141.0,7.0,6.0,Female,Books,0.0
50.0,43386.0,394.0,17.0,4.0,Female,Books,0.0
41.0,81886.0,273.0,12.0,2.0,Female,Electronics,1.0
,95745.0,422.0,4.0,4.0,Female,Books,1.0
28.0,73413.0,64.0,9.0,1.0,Male,,1.0
66.0,76800.0,368.0,6.0,7.0,Male,Electronics,0.0
25.0,62318.0,140.0,16.0,2.0,Female,,0.0
53.0,90173.0,297.0,,2.0,Female,Electronics,0.0
55.0,90390.0,275.0,8.0,9.0,Male,Books,1.0
,,467.0,11.0,5.0,Male,Clothing,1.0
37.0,63088.0,476.0,13.0,2.0,Male,Electronics,1.0
79.0,59811.0,375.0,17.0,9.0,Female,Electronics,1.0
52.0,75479.0,171.0,8.0,9.0,Male,Books,1.0
65.0,39963.0,389.0,18.0,1.0,Female,Books,1.0
79.0,75123.0,490.0,18.0,3.0,Female,Books,1.0
42.0,93477.0,96.0,,4.0,Male,Clothing,1.0
52.0,34388.0,64.0,15.0,7.0,Female,Electronics,0.0
42.0,25569.0,485.0,6.0,10.0,Female,Books,0.0
46.0,89836.0,297.0,11.0,4.0,Female,Clothing,1.0
35.0,56586.0,187.0,13.0,2.0,Female,Clothing,0.0
63.0,32015.0,400.0,1.0,7.0,Male,Clothing,1.0
,65002.0,358.0,6.0,6.0,Male,Books,0.0
19.0,26254.0,17.0,9.0,3.0,Female,Books,1.0
,37144.0,330.0,8.0,,Female,Electronics,0.0
52.0,44214.0,322.0,11.0,6.0,Male,Electronics,0.0
33.0,91774.0,256.0,19.0,,Female,Books,1.0
78.0,26090.0,332.0,9.0,4.0,Male,Clothing,0.0
58.0,31637.0,481.0,17.0,10.0,Female,Clothing,0.0
53.0,42415.0,480.0,12.0,,Female,Clothing,0.0
50.0,44071.0,452.0,14.0,10.0,Male,Electronics,0.0
21.0,78243.0,264.0,15.0,6.0,Male,Clothing,1.0
50.0,61240.0,337.0,,2.0,Male,Electronics,0.0
31.0,53434.0,63.0,1.0,3.0,Male,Electronics,0.0
38.0,89724.0,258.0,10.0,8.0,Female,Clothing,0.0
65.0,95697.0,248.0,8.0,10.0,Male,Clothing,1.0
37.0,48732.0,238.0,18.0,6.0,Female,Books,0.0
73.0,31314.0,,,3.0,Male,Books,0.0
25.0,43954.0,60.0,2.0,7.0,Male,Clothing,1.0
24.0,77108.0,106.0,1.0,4.0,Female,Electronics,1.0
20.0,56668.0,101.0,1.0,9.0,Male,Electronics,1.0
34.0,43061.0,273.0,9.0,5.0,Male,Electronics,0.0
50.0,99252.0,427.0,13.0,3.0,Male,,
65.0,59749.0,300.0,1.0,2.0,Male,Electronics,1.0
29.0,36907.0,105.0,13.0,2.0,Female,,
76.0,38777.0,97.0,7.0,3.0,Female,Clothing,0.0
68.0,,87.0,2.0,2.0,,Books,1.0
39.0,43624.0,297.0,6.0,,Male,Electronics,0.0
72.0,43321.0,129.0,7.0,,Male,Electronics,0.0
39.0,30488.0,311.0,14.0,10.0,Female,Electronics,0.0
63.0,42574.0,409.0,18.0,9.0,Female,Electronics,0.0
47.0,25240.0,,15.0,2.0,Female,Clothing,1.0
55.0,63221.0,174.0,2.0,9.0,Female,Electronics,0.0
55.0,30478.0,191.0,10.0,6.0,Male,Clothing,0.0
62.0,75645.0,478.0,12.0,1.0,,Electronics,1.0
68.0,39262.0,407.0,17.0,4.0,Male,Clothing,1.0
71.0,72796.0,232.0,8.0,1.0,Female,Books,1.0
25.0,24432.0,320.0,11.0,6.0,Male,Electronics,0.0
44.0,84291.0,441.0,,4.0,Female,Clothing,0.0
44.0,99104.0,475.0,6.0,3.0,Female,Books,1.0
51.0,79399.0,16.0,9.0,3.0,Male,Electronics,0.0
