age,income,purchase_amount,monthly_visits,satisfaction_score,gender,product_type,purchased
59,74693,420,13,4,Male,Clothing,1
62,46962,104,15,5,Male,Books,0
79,48295,124,9,4,Female,Electronics,1
74,33807,252,4,3,Female,Electronics,0
70,62348,429,14,8,Female,Clothing,0
23,46432,301,5,10,Male,Clothing,1
45,77854,291,2,4,Male,Books,1
45,60262,308,11,2,Male,Clothing,0
61,57080,292,9,2,Female,Clothing,1
61,21324,78,3,1,Male,Electronics,0
37,55909,157,9,4,Male,Clothing,1
47,39870,20,3,10,Female,Clothing,0
79,54578,263,2,9,Male,Electronics,1
28,92124,339,12,7,Male,Electronics,1
75,46790,369,10,10,Female,Books,0
72,45289,47,9,7,Male,Clothing,1
45,75129,143,15,7,Female,Electronics,1
42,35485,209,8,8,Female,Books,1
56,64482,32,5,1,Female,Books,1
79,24748,312,11,10,Female,Clothing,1
50,29435,355,2,10,Female,Clothing,1
18,23709,311,15,8,Male,Books,0
74,50355,372,6,4,Male,Electronics,1
44,75771,405,8,4,Female,Books,1
79,77799,227,5,4,Female,Clothing,1
74,33116,150,16,6,Male,Electronics,1
69,45470,113,18,7,Female,Electronics,1
30,62344,455,6,6,Female,Books,0
58,62918,219,5,1,Female,Clothing,1
20,72224,482,16,8,Male,Books,1
56,59298,490,13,10,Male,Books,0
23,81629,120,5,7,Female,Books,1
25,86040,113,13,6,Female,Electronics,0
44,48016,325,17,6,Male,Electronics,1
26,43960,180,18,5,Male,Clothing,0
79,53591,469,8,6,Female,Clothing,1
54,87641,365,13,9,Female,Books,1
50,56395,333,19,10,Male,Books,1
68,42700,142,3,9,Male,Books,1
59,54620,385,8,10,Male,Clothing,1
61,40559,302,2,8,Female,Electronics,1
41,81642,337,8,10,Male,Electronics,1
32,96539,136,13,9,Female,Books,1
76,41732,115,13,10,Male,Books,0
71,50354,101,1,8,Male,Books,1
49,33843,296,6,8,Male,Books,1
49,91726,387,19,1,Male,Clothing,0
41,37640,402,16,10,Female,Electronics,0
58,72528,60,8,5,Female,Books,0
69,58413,38,1,4,Male,Clothing,1
66,72638,471,16,2,Female,Books,1
79,72736,305,9,8,Male,Books,1
66,88866,306,13,3,Male,Electronics,1
75,39087,223,11,4,Male,Books,0
69,61430,276,13,7,Male,Electronics,1
29,44504,416,10,10,Female,Electronics,1
79,27114,266,4,9,Male,Electronics,0
56,98859,311,6,2,Male,Clothing,1
19,30975,110,7,3,Female,Clothing,0
20,31023,414,5,4,Male,Electronics,0
66,41447,355,11,10,Male,Books,0
54,43959,119,13,1,Male,Electronics,0
66,86203,429,19,7,Female,Books,0
73,49703,191,10,2,Male,Electronics,0
34,29337,480,10,5,Female,Books,0
76,66427,322,11,1,Male,Clothing,0
66,81529,10,7,3,Male,Books,0
19,51921,328,18,2,Female,Electronics,0
19,53307,447,4,1,Male,Clothing,1
45,47355,64,2,7,Male,Books,0
71,24835,380,14,5,Female,Books,0
40,40159,433,13,1,Female,Books,0
54,67605,408,12,6,Female,Books,0
49,58088,158,7,5,Female,Books,0
50,98752,440,2,3,Female,Clothing,1
18,75284,466,13,7,Male,Clothing,1
36,77043,318,14,10,Female,Clothing,1
79,55547,146,17,9,Male,Clothing,0
19,47532,211,9,9,Male,Electronics,0
70,54349,445,17,9,Male,Clothing,1
61,65445,322,8,2,Female,Books,1
43,25713,126,2,3,Female,Books,0
49,76178,163,13,7,Male,Clothing,0
23,69407,434,3,5,Female,Books,1
49,90340,300,16,2,Female,Clothing,1
72,70990,72,6,3,Female,Books,1
21,95672,253,19,10,Female,Electronics,1
72,85545,34,7,6,Male,Electronics,0
28,78141,99,10,7,Male,Clothing,1
73,43793,84,9,9,Female,Clothing,1
76,76570,303,2,1,Male,Clothing,0
34,57892,395,15,7,Female,Books,0
55,21015,400,5,8,Female,Clothing,1
41,81813,219,4,3,Male,Electronics,1
22,47712,484,4,4,Male,Books,1
69,28415,427,18,10,Male,Clothing,0
51,82292,356,4,6,Female,Books,1
23,43833,26,17,10,Male,Books,1
39,24158,137,12,7,Female,Clothing,0
28,82680,436,17,4,Male,Books,0
65,40309,452,10,8,Male,Electronics,1
33,26970,373,1,5,Female,Electronics,1
50,92474,260,18,1,Female,Books,1
26,66540,188,18,4,Female,Clothing,1
77,40384,191,14,3,Female,Books,0
76,38017,161,15,9,Female,Electronics,0
23,95880,34,12,8,Female,Books,1
33,28702,464,4,1,Female,Books,1
46,20384,189,3,6,Female,Electronics,1
20,20404,207,12,9,Male,Books,0
37,60943,353,7,7,Female,Books,0
77,67926,170,11,4,Female,Clothing,0
76,49189,186,1,1,Male,Clothing,0
53,32763,294,6,2,Female,Electronics,0
36,38384,72,15,5,Male,Electronics,0
43,80100,159,15,5,Male,Electronics,1
20,29860,163,19,8,Female,Clothing,0
36,70612,165,11,6,Male,Electronics,0
37,43574,379,2,8,Female,Electronics,1
49,43524,478,14,2,Male,Electronics,1
24,89172,58,2,3,Male,Clothing,1
69,30916,464,4,6,Male,Books,0
58,24809,346,17,10,Female,Electronics,1
50,52201,93,3,3,Female,Books,1
57,73330,370,13,6,Male,Electronics,1
56,33456,186,9,6,Male,Books,0
35,76397,157,7,2,Female,Clothing,0
57,58765,127,15,7,Female,Clothing,1
18,54816,351,11,2,Male,Electronics,1
28,65106,485,2,6,Male,Books,1
45,73932,72,15,1,Female,Clothing,1
74,37100,198,14,3,Female,Electronics,1
42,77091,369,11,2,Female,Electronics,0
67,41949,58,3,7,Female,Clothing,0
40,90080,336,17,4,Female,Clothing,0
48,57744,266,12,8,Male,Electronics,1
47,65543,233,15,6,Female,Books,0
59,56187,150,16,10,Male,Books,1
52,27239,487,5,4,Female,Books,1
24,34489,224,6,5,Male,Electronics,1
77,78017,444,19,9,Female,Clothing,1
33,81877,388,5,7,Female,Electronics,0
43,63125,449,3,10,Male,Clothing,1
65,69922,220,1,9,Male,Books,1
74,52049,327,6,7,Female,Books,0
69,57131,41,15,1,Female,Clothing,1
77,62944,167,2,8,Female,Clothing,1
66,93963,294,3,4,Female,Electronics,1
19,44285,314,17,3,Female,Books,1
18,57626,438,12,7,Male,Electronics,0
65,62808,486,18,3,Male,Electronics,1
79,73871,295,15,8,Female,Electronics,1
29,39198,153,12,6,Male,Books,1
22,39758,433,16,5,Male,Electronics,1
54,35254,28,8,4,Male,Electronics,0
49,64238,27,14,8,Female,Electronics,1
76,21252,266,17,8,Male,Electronics,1
72,59764,87,8,1,Female,Electronics,1
26,97709,380,15,9,Male,Electronics,1
58,57441,184,14,5,Female,Books,1
52,73682,203,18,4,Male,Electronics,1
36,79494,485,7,6,Female,Clothing,1
65,85215,122,3,6,Female,Electronics,1
33,98587,123,12,2,Male,Electronics,1
20,26949,231,3,8,Female,Books,1
37,75393,175,14,7,Female,Books,0
41,93553,444,15,1,Female,Clothing,1
71,26941,328,14,5,Female,Clothing,1
73,45934,141,7,6,Female,Books,0
50,43386,394,17,4,Female,Books,0
41,81886,273,12,2,Female,Electronics,1
69,95745,422,4,4,Female,Books,1
28,73413,64,9,1,Male,Clothing,1
66,76800,368,6,7,Male,Electronics,0
25,62318,140,16,2,Female,Clothing,0
53,90173,297,2,2,Female,Electronics,0
55,90390,275,8,9,Male,Books,1
57,72329,467,11,5,Male,Clothing,1
37,63088,476,13,2,Male,Electronics,1
79,59811,375,17,9,Female,Electronics,1
52,75479,171,8,9,Male,Books,1
65,39963,389,18,1,Female,Books,1
79,75123,490,18,3,Female,Books,1
42,93477,96,14,4,Male,Clothing,1
52,34388,64,15,7,Female,Electronics,0
42,25569,485,6,10,Female,Books,0
46,89836,297,11,4,Female,Clothing,1
35,56586,187,13,2,Female,Clothing,0
63,32015,400,1,7,Male,Clothing,1
35,65002,358,6,6,Male,Books,0
19,26254,17,9,3,Female,Books,1
71,37144,330,8,6,Female,Electronics,0
52,44214,322,11,6,Male,Electronics,0
33,91774,256,19,5,Female,Books,1
78,26090,332,9,4,Male,Clothing,0
58,31637,481,17,10,Female,Clothing,0
53,42415,480,12,1,Female,Clothing,0
50,44071,452,14,10,Male,Electronics,0
21,78243,264,15,6,Male,Clothing,1
50,61240,337,16,2,Male,Electronics,0
31,53434,63,1,3,Male,Electronics,0
38,89724,258,10,8,Female,Clothing,0
65,95697,248,8,10,Male,Clothing,1
37,48732,238,18,6,Female,Books,0
73,31314,76,1,3,Male,Books,0
25,43954,60,2,7,Male,Clothing,1
24,77108,106,1,4,Female,Electronics,1
20,56668,101,1,9,Male,Electronics,1
34,43061,273,9,5,Male,Electronics,0
50,99252,427,13,3,Male,Electronics,1
65,59749,300,1,2,Male,Electronics,1
29,36907,105,13,2,Female,Books,0
76,38777,97,7,3,Female,Clothing,0
68,71745,87,2,2,Male,Books,1
39,43624,297,6,4,Male,Electronics,0
72,43321,129,7,2,Male,Electronics,0
39,30488,311,14,10,Female,Electronics,0
63,42574,409,18,9,Female,Electronics,0
47,25240,461,15,2,Female,Clothing,1
55,63221,174,2,9,Female,Electronics,0
55,30478,191,10,6,Male,Clothing,0
62,75645,478,12,1,Male,Electronics,1
68,39262,407,17,4,Male,Clothing,1
71,72796,232,8,1,Female,Books,1
25,24432,320,11,6,Male,Electronics,0
44,84291,441,3,4,Female,Clothing,0
44,99104,475,6,3,Female,Books,1
51,79399,16,9,3,Male,Electronics,0
38,99714,339,6,9,Male,Electronics,1
47,70428,272,9,6,Male,Electronics,1
50,20302,170,7,9,Female,Clothing,0
45,20055,160,9,5,Female,Clothing,0
64,28717,94,18,2,Male,Books,0
50,48699,156,12,8,Male,Clothing,1
22,93686,121,8,5,Female,Clothing,1
77,87661,390,8,2,Male,Electronics,1
78,64247,412,18,4,Female,Electronics,1
65,36748,45,15,9,Female,Electronics,1
36,24621,294,7,4,Male,Electronics,1
21,35034,197,11,4,Male,Electronics,1
52,25126,91,16,2,Male,Electronics,0
66,25122,11,4,6,Male,Electronics,1
34,38030,394,6,2,Female,Books,1
61,75658,312,3,7,Female,Books,1
45,58638,206,9,3,Female,Books,1
47,87067,413,10,3,Male,Books,1
46,54674,20,14,5,Female,Electronics,1
63,55854,243,11,3,Male,Books,0
70,66271,395,18,2,Male,Electronics,0
23,93688,204,12,10,Male,Books,1
52,58518,480,12,9,Male,Clothing,1
77,30267,128,13,2,Male,Books,0
58,21062,405,13,2,Male,Books,1
54,70448,29,19,8,Female,Electronics,0
41,26229,270,19,9,Male,Books,1
46,76793,302,14,7,Female,Clothing,0
66,67915,431,4,3,Female,Electronics,0
63,24632,265,13,9,Male,Electronics,1
70,23596,231,8,3,Male,Books,0
48,26168,402,19,5,Male,Electronics,0
52,27561,235,12,9,Female,Electronics,0
77,93794,62,18,3,Male,Electronics,0
50,46734,437,6,7,Female,Electronics,0
69,26371,364,18,1,Male,Electronics,1
78,46069,351,19,4,Male,Electronics,0
38,99905,373,5,4,Female,Clothing,0
49,32910,289,9,7,Female,Books,0
40,93479,90,3,8,Male,Clothing,1
50,97735,211,10,1,Female,Electronics,1
20,43275,167,19,5,Female,Electronics,0
35,92274,129,3,7,Female,Books,1
42,80004,68,15,4,Female,Clothing,0
59,82981,224,1,4,Female,Books,1
48,74553,137,7,4,Male,Clothing,1
71,68447,233,12,6,Male,Electronics,0
75,54529,218,17,7,Female,Books,1
20,95703,379,5,2,Male,Books,1
57,96090,124,4,5,Male,Electronics,1
63,37260,218,12,4,Female,Books,0
41,23812,23,18,3,Male,Clothing,0
67,48024,18,17,7,Female,Clothing,0
49,78656,49,19,6,Female,Clothing,1
64,47285,459,9,7,Male,Clothing,0
